Label	Weight	Text
l_A14Bot_Home Automation	2.333333	make some coffee
l_A14Bot_Home Automation	2.333333	turn off living room light
l_A14Bot_Home Automation	2.333333	change temperature to seventy two degrees
l_A14Bot_Home Automation	2.333333	turn the fan to high
l_A14Bot_Home Automation	2.333333	turn on bathroom heater
l_A14Bot_Home Automation	2.333333	fish pond on please
l_A14Bot_Home Automation	2.333333	turn on the furnace room lights
l_A14Bot_Home Automation	2.333333	lock the doors for me please
l_A14Bot_Home Automation	2.333333	set lights to bright
l_A14Bot_Home Automation	2.333333	turn off venice lamp
l_A14Bot_Home Automation	2.333333	living room lamp on please
l_A14Bot_Home Automation	2.333333	turn thermostat on 70.
l_A14Bot_Home Automation	2.333333	living room lamps off please
l_A14Bot_Home Automation	2.333333	coffee bar on please
l_A14Bot_Home Automation	2.333333	illuminate please
l_A14Bot_Home Automation	2.333333	snap switch fan fifty percent
l_A14Bot_Home Automation	2.333333	start master bedroom light.
l_A14Bot_Home Automation	2.333333	turn on light in bedroom
l_A14Bot_Home Automation	2.333333	turn on my bedroom lights.
l_A14Bot_Home Automation	2.333333	turn on thermostat please
l_A14Bot_Home Automation	2.333333	set lights out in bedroom
l_A14Bot_Home Automation	2.333333	turn on kitchen faucet
l_A14Bot_Home Automation	2.333333	play dvd
l_A14Bot_Home Automation	2.333333	turn on the internet in my bedroom please
l_A14Bot_Home Automation	2.333333	set lights to concentrate
l_A14Bot_Home Automation	2.333333	turn off foyer lights
l_A14Bot_Home Automation	2.333333	turn on external speaker
l_A14Bot_Home Automation	2.333333	decrease temperature for me please
l_A14Bot_Home Automation	2.333333	turn off staircase
l_A14Bot_Home Automation	2.333333	breezeway on please
l_A14Bot_Weather	3.333333	show average rainfall for boise
l_A14Bot_Weather	3.333333	how much rain does chambersburg get a year
l_A14Bot_Weather	3.333333	do florida residents usually need ice scrapers
l_A14Bot_Weather	3.333333	forecast in celcius
l_A14Bot_Weather	3.333333	get for me the weather conditions in sonoma county
l_A14Bot_Weather	3.333333	what will the weather be tomorrow in new york
l_A14Bot_Weather	3.333333	get the daily temperature greenwood indiana
l_A14Bot_Weather	3.333333	what is the rain volume in sonoma county
l_A14Bot_Weather	3.333333	what to wear in march in california
l_A14Bot_Weather	3.333333	get the forecast for me
l_A14Bot_Weather	3.333333	what's the weather like in minneapolis
l_A14Bot_Weather	3.333333	will it rain this weekend
l_A14Bot_Weather	3.333333	show me the forecast at alabama
l_A14Bot_Weather	3.333333	what is the weather in redmond
l_A14Bot_Weather	3.333333	will it be raining in ranchi
l_A14Bot_Weather	3.333333	what's the weather going to be like in hawaii
l_A14Bot_Weather	3.333333	was last year about this time as wet as it is now in the south
l_A14Bot_Weather	3.333333	i want to know the temperature at death valley
l_A14Bot_Weather	3.333333	will it snow today
l_A14Bot_Weather	3.333333	current weather
l_A14Bot_Weather	3.333333	provide me by toronto weather please
q_links	1	Area14 Dashboard Link
q_links	1	What's the link to project list
q_links	1	Location to project list
q_links	1	Area14 Status Dashboard
q_links	1	Project Management
q_links	1	Area14 Project Management Link
q_links	1	Documents tab
q_links	1	What's the link to Area14 Resource Management
q_links	1	I want to access Documents page
q_links	1	Area14 Ticket status Link
q_links	1	Where is project list
q_links	1	How do I access leave calendar
q_links	1	Link to project list
q_links	1	What's the link to leave calendar
q_links	1	I want to access Dashboard
q_links	1	Leave calender
q_links	1	Location to Resource Management
q_links	1	Area14 Documents Page Link
q_links	1	Where can I access Ticket status
q_links	1	What's the link to Project Management
q_links	1	Link to Ticket status page
q_links	1	Where can I access project list
q_links	1	Access leave calendar
q_links	1	What's the link to Ticket status
q_links	1	What's the link to Area14 Documents page
q_links	1	I want to check Ticket status
q_links	1	I want to access leave calendar
q_links	1	Project list page
q_links	1	How do I access Project Management
q_links	1	I want to access Project Management
q_links	1	Link to Project Management page
q_links	1	Resource Management
q_links	1	Where is leave calender
q_links	1	Area14 Resource Management Link
q_links	1	How do I access Documents page
q_links	1	Project Management Page
q_links	1	Location to leave calendar
q_links	1	Access project list
q_links	1	What's the link to Resource Management
q_links	1	Where is Project Management page
q_links	1	I want to see Project Management
q_links	1	Location to Project Management
q_links	1	Where is Resource Management page
q_links	1	What's the link to Ticket status page
q_links	1	Area14 Status dashboard link
q_links	1	Where can I access Documents page
q_links	1	Project list
q_links	1	How do I access Dashboard
q_links	1	Ticket status Page
q_links	1	Where can I access leave calendar
q_links	1	Where can I access Resource Management
q_links	1	What's the link to Documents page
q_links	1	Access Resource Management
q_links	1	Where can I access Dashboard
q_links	1	Where can I access Project Management
q_links	1	Access Project Management
q_links	1	Project list link
q_links	1	Area14 Status dashboard page
q_links	1	Access Documents page
q_links	1	Leave calendar link
q_links	1	What's the link to Dashboard
q_links	1	Metalogix ticket status
q_links	1	Where is Ticket status page
q_links	1	How do I access Resource Management
q_links	1	Access Dashboard
q_links	1	Link to dashboard
q_links	1	I want to see Ticket status
q_links	1	Resource Management Page
q_links	1	I want to see Documents page
q_links	1	Area14 dashboard page
q_sample-qna	7	What should I call you
q_sample-qna	7	greetings
q_sample-qna	7	Who are you
q_sample-qna	7	hi
q_sample-qna	7	What do you do
q_sample-qna	7	What are you
q_sample-qna	7	What
q_sample-qna	7	What is your name
q_sample-qna	7	What should I call you
q_sample-qna	7	greetings
